Date,ActiveCases,Deaths1M,NewCases,NewDeaths,SeriousCritical,Tests1M,TotCases1M,TotDeaths1M,TotalCases,TotalDeaths,TotalRecovered,TotalTests,Country_Region,Province_State
2020-03-27,0.011634778658440202,,,,0.0034911873315323695,,0.00019277199041349566,0.0,0.2430367852638119,0.0,0.2249645336363281,,China,Qinghai
2020-03-28,0.010524230925020044,0.0,,,0.0029922284109338655,,0.00019277199041349566,,0.24318001198827716,0.0,0.22599844741718386,,China,Qinghai
2020-03-29,0.00906057313502126,0.0,0.00015219150154454684,0.0,0.00250651579146477,,0.00019277199041349566,,0.24329935192365706,0.0,0.22728462257660198,,China,Qinghai
2020-03-30,0.008306137296135956,0.0,0.00010484551642826933,0.0,0.002138701384740872,,0.00019277199041349566,,0.24338155559493707,0.0,0.2279634441050881,,China,Qinghai
2020-03-31,0.0072825480445047885,0.0,0.00026716527656645044,0.0,0.0017842567769709818,,0.00019277199041349566,,0.2435088253682873,0.0,0.2289108685528448,,China,Qinghai
2020-04-01,0.006755242526105067,0.0,,,0.0015749066676013163,,0.00019277199041349566,,0.2436042670697553,0.0,0.22941113401177524,,China,Qinghai
2020-04-02,0.006281438042794673,0.0,0.00011837316948776375,0.0,0.0014499510398200076,,0.00019277199041349566,,0.2436970488805813,0.0,0.22986814708686837,,China,Qinghai
2020-04-03,0.005824222347625036,0.0,0.00010484551642826933,0.0,0.0012810672729203013,,0.00019277199041349566,,0.2437792198675542,0.0,0.23030614592587362,,China,Qinghai
2020-04-04,0.005255773167033748,0.0,6.426145923074367e-05,0.0,0.0011189120190444445,,0.00019277199041349566,,0.24382957939334887,0.0,0.230800343663667,,China,Qinghai
2020-04-05,0.00464323553506186,0.0,0.00010146357456985899,0.0,0.000997278320653798,,0.00019277199041349566,,0.2439090892709471,0.0,0.23136139173165762,,China,Qinghai
2020-04-06,0.004383972006637965,0.0,,,0.0008959056025560388,,0.00019277199041349566,,0.24401244266160446,0.0,0.2316672853286874,,China,Qinghai
2020-04-07,0.004192006348816797,0.0,0.00010822744684918761,,0.0007134088093555628,,0.00019277199041349566,,0.24409723746632436,0.0,0.23190603197254017,,China,Qinghai
2020-04-08,0.00401684763417615,0.0,0.0002096800414266156,0.0,0.0006390487145534893,,0.00019277199041349566,,0.24426150694223134,0.0,0.23220639621113173,,China,Qinghai
2020-04-09,0.003915780571789575,0.0,0.00021306161732364753,0.0,0.0005951060593358896,,0.00019277199041349566,,0.24442839828958174,0.0,0.23245037574189367,,China,Qinghai
2020-04-10,0.003767530400852534,0.0,,,0.00048693129613970755,,0.00019277199041349566,,0.24453964371608966,0.0,0.23267821495451374,,China,Qinghai
2020-04-11,0.003676547822643038,0.0,0.00015557327184869893,0.0,0.00047678931211963133,,0.00019277199041349566,,0.24466146974719657,0.0,0.2328658082771586,,China,Qinghai
2020-04-12,0.0038416582335851993,0.0,0.00033479073449640837,,0.0004700279322947739,,0.00019277199041349566,,0.24492361022127457,0.0,0.23299978196522456,,China,Qinghai
2020-04-13,0.003949470727547967,0.0,0.0003009785771817493,,0.00039226877827518863,,0.00019277199041349566,,0.24544503895366507,0.0,0.23343641159624612,,China,Qinghai
2020-04-14,0.003949470727547967,0.0,,,0.00039226877827518863,,0.00019277199041349566,,0.24544503895366507,0.0,0.23343641159624612,,China,Qinghai
